127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/footer.css, HTTP/1.1, 200, 0.013581
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.025093
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/navbar.css, HTTP/1.1, 200, 0.017978
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/calendar.css, HTTP/1.1, 200, 0.003141
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/jquery.js, HTTP/1.1, 200, 0.001544
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/web2py.js, HTTP/1.1, 200, 0.001124
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004849
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001124
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/share.js, HTTP/1.1, 200, 0.001121
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/calendar.js, HTTP/1.1, 200, 0.001193
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 200, 0.023279
127.0.0.1, 2016-03-09 23:24:44, GET, /SPE/static/images/home/header-usb.png, HTTP/1.1, 200, 0.001908
127.0.0.1, 2016-03-09 23:24:45, GET, /SPE/static/images/twitter.png, HTTP/1.1, 200, 0.004154
127.0.0.1, 2016-03-09 23:24:45, GET, /SPE/static/images/facebook.png, HTTP/1.1, 200, 0.001164
127.0.0.1, 2016-03-09 23:24:45, GET, /SPE/static/images/gplus-32.png, HTTP/1.1, 200, 0.001736
127.0.0.1, 2016-03-09 23:24:45, GET, /SPE/static/images/favicon.ico, HTTP/1.1, 200, 0.001420
127.0.0.1, 2016-03-09 23:24:50, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.983908
127.0.0.1, 2016-03-09 23:24:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000753
127.0.0.1, 2016-03-09 23:24:55, GET, /admin/default/ticket/SPE/127.0.0.1.2016-03-09.23-24-49.9c665905-e62e-494b-803e-92539fcaf688, HTTP/1.1, 200, 0.447889
127.0.0.1, 2016-03-09 23:24:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000844
127.0.0.1, 2016-03-09 23:25:36, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.184568
127.0.0.1, 2016-03-09 23:25:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100849
127.0.0.1, 2016-03-09 23:25:39, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.307467
127.0.0.1, 2016-03-09 23:25:42, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.163744
127.0.0.1, 2016-03-09 23:25:42, GET, /favicon.ico, HTTP/1.1, 400, 0.003726
127.0.0.1, 2016-03-09 23:25:44, GET, /admin/default/ticket/SPE/127.0.0.1.2016-03-09.23-25-42.8ea5037d-a885-42cd-907f-a9eea10d88a7, HTTP/1.1, 200, 0.301878
127.0.0.1, 2016-03-09 23:25:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001010
127.0.0.1, 2016-03-09 23:26:02, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.069475
127.0.0.1, 2016-03-09 23:26:10, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.186411
127.0.0.1, 2016-03-09 23:26:16, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.155747
127.0.0.1, 2016-03-09 23:26:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000767
127.0.0.1, 2016-03-09 23:26:19, GET, /admin/default/ticket/SPE/127.0.0.1.2016-03-09.23-26-16.c0b5bdd1-0d28-46f2-b771-fc38769e0966, HTTP/1.1, 200, 0.299509
